Question,Answer A,Answer B,Answer C,Answer D,Answer E
Il primo livello di organizzazione strutturale delle proteine è la struttura primaria formata da:,legami peptidici tra gruppi carbossilici e gruppi amminici di amminoacidi contigui,ponti idrogeno tra NH ammidici e gruppi carbonilici dello scheletro peptidico,legami esterei tra acidi contigui degli amminoacidi,impilamento dei piani cristallini,nessuna delle altre alternative è corretta
Il composto AlCl3 è formato da un atomo di Alluminio e tre atomi di Cloro legati tra loro da legami covalenti. Poichè l'alluminio è nel gruppo 13 possiamo supporre che AlCl3:,è un acido secondo Lewis,una base secondo Lewis,un acido secondo Arrhenius,l'acido coniugato di una base azotata,nessuna delle altre possibiltà è corretta
Quando lo iodio passa direttamente dallo stato solido a quello gassoso ci troviamo di fronte:,a una sublimazione,al punto triplo dello iodio,al punto di rugiada dello iodio,alla temperatura di liquefazione,alla temperatura di evaporazione
"Tra le seguenti, qual è la reazione di sintesi?",MgO + H2O → Mg(OH)2,NH4Cl + KOH → NH3 + KCl + H2O,2KClO3 → 2KCl + 3O2,Ni(OH)2 → NiO + H2O,2Na + 2H2O → H2 + 2NaOH
Indicare quale dei seguenti elementi si trova nel primo gruppo (IA) e nel secondo periodo della tavola periodica.,Litio,Sodio,Carbonio,Francio,Magnesio
Per determinare la percentuale in peso di un elemento in un composto è necessario calcolare:,"il rapporto tra il peso totale dell'elemento e il peso del composto, riferiti a una mole, moltiplicato per 100","il rapporto tra il peso molecolare dell'elemento e la somma dei pesi molecolari degli altri elementi presenti, moltiplicato per 100","il rapporto tra il numero di atomi dell'elemento e gli atomi totali nel composto, moltiplicato per 100",il peso dell'elemento contenuto in un litro di soluzione,"il rapporto tra il numero di atomi dell'elemento e il peso totale del composto, moltiplicato per 100"
Quale dei seguenti composti è aromatico?,Benzene,Fosgene,Cicloesanone,Formammide,Butanone
Indicare quale delle seguenti sostanze è un alcol.,Trifluoroetanolo,Benzene,Cicloesanone,Propanale,Butene
Attraverso la reazione tra quali dei seguenti reagenti si ottengono come prodotti un idrossido e idrogeno?,K + H2O,4Fe + 3O2,MgO + H2O,Na2O + CO2,2HCl + CaCO3
Un orbitale atomico è:,lo spazio nel quale esiste la probabilità di trovare l'elettrone,il punto dello spazio in cui si trova l'elettrone,l'insieme delle traiettorie che l'elettrone percorre nello spazio,la regione dello spazio in cui l'elettrone non si può trovare,la parte di spazio in cui l'elettrone è fermo
Quale tra le seguenti caratteristiche è propria dei composti ionici?,Sono più facilmente solubili in solventi polari,Sono più facilmente solubili in solventi apolari,Presentano solo legami omopolari,Non sono mai solubili in solventi polari come ad esempio l'acqua,Non possono essere isolati in quanto si separano in soluzione
"A 0°C e 1 atm, qual è il volume occupato da 2,5 mol di cloro allo stato elementare?","56,0 litri","27,0 litri","112,0 litri","5,6 litri","2,7 litri"
Quale delle seguenti molecole è apolare?,BH3,NH3,H2S,HBr,CO
"Si vuole preparare una soluzione 0,1 molare partendo da 0,1 moli di soluto. Il volume finale della soluzione sarà pari a:",1 l,1 kg,500 ml,non si può determinare,2 l
"Tra i seguenti composti del fosforo, qual è l’acido ortofosforico?",H3PO4,H2PO4,HPO4,H3PO3,H4P2O4
Come viene definita la mole?,La quantità di materia che contiene un numero di entità elementari uguale al numero di atomi presenti in 12 g di carbonio-12,La quantità di materia che contiene 12 grammi di carbonio,Il peso di un atomo di carbonio 12,Il peso di un numero di Avogadro di atomi di carbonio,Il volume di numero di Avogadro di atomi di carbonio
Quale delle seguenti operazioni su una soluzione tampone non provoca una variazione seppur minima del pH?,Aggiunta di una quantità significativa di acido forte,Aggiunta di acqua,Aumento della temperatura,Diminuzione della temperatura,Aggiunta di una quantità significativa di base forte
"Individuare il pH della soluzione acquosa di HClO4 con concentrazione 0,15 mol/l.",0.82,1.2,2.2,3.2,4.2
Individuare la corretta formula del cianuro di bario.,Ba(CN)2,Ba2CN,BaCN,Ba(CN)O3,HBaCN
In quale delle seguenti soluzioni acquose si determina il maggior abbassamento crioscopico rispetto all’acqua pura?,"Na2SO4 0,5 M","NaNO3 0,5 M","KCN 0,51 M","K2SO3 0,45 M","MgCl2 0,35 M"
L’equazione chimica 2KHCO3 → K2CO3 + CO2 + H2O:,rappresenta una reazione di decomposizione,non è bilanciata,rappresenta una reazione di sintesi,rappresenta una reazione di doppio scambio,rappresenta una reazione di ossidoriduzione
"A 25°C e 1 atm, qual è la concentrazione degli ioni H3O+ nella soluzione acquosa che ha [OH-] = 1,0 · 10-13 mol/l?","1,0 · 10-1 mol/l","1,0 · 1011 mol/l","1,0 · 10-11 mol/l","1,0 · 10-2 mol/l","1,0 · 10 mol/l"
"In chimica organica, che cosa può descrivere la proiezione di Newman?",Una visualizzazione grafica alternativa di una struttura molecolare lungo l’asse del legame C-C,Una previsione del punto di fusione degli alcani all’aumentare della lunghezza della catena,Una previsione del punto di ebollizione degli alcani all’aumentare della lunghezza della catena,Un calcolo del numero di isomeri strutturali in funzione del numero di atomi della catena carboniosa,Un calcolo dell’energia potenziale dei vari rotameri di una molecola organica
"Nella legge di Lambert-Beer, l’assorbanza NON è dipendente da quale delle seguenti grandezze?",Temperatura,Lunghezza del cammino ottico,Lunghezza d’onda,Assorbività molare o coefficiente di assorbimento molare,Concentrazione del campione
L’equazione chimica 2K + 2H2O → H2 + 2KOH:,è una reazione di ossidoriduzione,non è bilanciata,non rappresenta una reazione di ossidoriduzione,rappresenta una reazione di sintesi,rappresenta una reazione di decomposizione
"Quando in un legame covalente gli elettroni NON sono uniformemente distribuiti tra i due atomi, come viene definito il legame?",Covalente polare,Covalente puro,Dativo,Legame ionico,Legame a idrogeno
"Assegnare la corretta formula al composto che, secondo la nomenclatura IUPAC, è denominato acido tetraossoiodico (VII).",HIO4,HIO3,H4IO,HIO,HI4O
"Una delle seguenti reazioni chimiche è una reazione di doppio scambio.
Quale?",NiO + 2HNO3 → Ni(NO3)2 + H2O,5C + 2P2O5 → 5CO2 + P4,BaO + H2O → Ba(OH)2,Ni(OH)2 → NiO + H2O,Cu + 2AgNO3 → 2Ag + Cu(NO3)2
Il metano e il cloro reagiscono se esposti alla luce ultravioletta per formare clorometano. Che tipo di intermedi si formano in questa reazione?,Intermedi radicalici,Intermedi ionici,Complessi intermedi con catalizzatore,Intermedi di coordinazione,Il meccanismo esatto della reazione non è noto
Qual è l’unità di misura della frequenza dell’oscillazione dell’onda luminosa?,Hertz,Ampère,Coulomb,Ohm,Volt
Quale tra le seguenti affermazioni sul legame covalente è corretta?,Il legame covalente si forma per sovrapposizione di opportuni orbitali atomici semioccupati.,Nel legame covalente gli atomi tendono allo stato energetico più elevato possibile,L'elettronegatività dei due atomi che si legano deve necessariamente essere uguale,Il legame covalente puro non può avvenire tra atomi uguali,Uno dei due atomi coinvolti nel legame può fornire due elettroni da condividere e l'altro un orbitale dove allocarli
"La temperatura di solidificazione di una soluzione acquosa 0,5 m di NaCl è -1,86°C. La temperatura di solidificazione di una soluzione acquosa 1,5 m di NaClO4 è:","- 5,58°C",- 15°C,0°C,"- 0,5°C","1,5°C"
Come sono correlati Rame (Cu) e Argento (Ag)?,Appartengono entrambi al gruppo IB della tavola periodica,Appartengono entrambi al gruppo VIA della tavola periodica,Sono entrambi metalli alcalino-terrosi,Sono entrambi alogeni,Appartengono entrambi al gruppo dei lantanidi
Quale tra i seguenti elementi ha la più elevata energia di prima ionizzazione?,S,Si,Al,Mg,Na
"Calcolare il pOH di una soluzione acquosa di KOH 0,001 M.",3,11,9,4,7
Quale delle seguenti specie chimiche contenenti elementi di transizione presenta l’atomo con il numero di ossidazione più̀ elevato?,OsO4,"2-
IrCl6","2-
Cr2O7","-
MnO4",TcCl4
Individuare tra le seguenti specie chimiche l’agente nucleofilo.,H2O,H+,BH3,"+
CH3",Br+
Quale aspetto della chimica è governato dalla regola di Hund?,Il riempimento progressivo degli orbitali degeneri,La reattività dei gruppi funzionali alcolici,Il trasferimento di elettroni da un gruppo funzionale all’altro in una reazione chimica,La rappresentazione della struttura delle molecole attraverso linee,L’affinità elettronica delle molecole organiche
"Calcolare il pH di una soluzione acquosa di HBr 0,01 M.",2,12,7,5,3
"Per ricavare la formula minima di un composto dalle percentuali in massa degli elementi componenti, quale dato è necessario conoscere?",La massa molare di ciascun atomo,Il numero di grammi totali analizzati,Il numero di moli totali del composto,La temperatura di fusione del composto,Lo stato fisico del composto in esame
Da cosa dipendono le proprietà colligative di una soluzione?,Dal numero delle unità elementari di soluto,Dalla natura delle unità elementari di soluto,Dalla forma del recipente in cui è contenuta la soluzione,Dalla pressione osmotica,Dalla densità della soluzione
Qual è il gas nobile in cui è occupato completamente l'orbitale 5p?,Xenon,Argon,Neon,Elio,Radon
"Nella reazione rappresentata dall’equazione chimica non bilanciata KMnO4 + H2C2O4 + H2SO4 → CO2 + MnSO4 + K2SO4 + H2O, si può
affermare che, passando dai reagenti ai prodotti:","il numero di ossidazione del manganese passa da +7 a +2, pertanto il manganese si riduce ed è l’agente ossidante","il numero di ossidazione del carbonio passa da +3 a +4, pertanto il carbonio si riduce ed è l’agente ossidante","il numero di ossidazione del manganese passa da +8 a +6, pertanto il manganese si riduce e cede elettroni","il numero di ossidazione dello zolfo passa da +6 a +2, pertanto lo zolfo si riduce e acquista elettroni","il numero di ossidazione del carbonio passa da –3 a –4, pertanto il carbonio si ossida ed è l’agente riducente"
"Conoscendo la massa molecolare (MM) di un composto e il numero di moli (mol), come posso calcolarne la massa (g)?",g = mol · MM,g = n particelle / MM,g = mol/MM,n particelle = NA · mol,Nessuna delle formule elencate nelle altre alternative è corretta
Quanti sono gli isomeri di posizione dell’alchene con catena lineare che ha formula molecolare C6H12?,3,2,4,5,Nessuno
L'equazione di van der Walls è una variante dell'equazione generale di stato per i gas reali che tiene conto anche di:,covolume e attrazioni molecolari,temperatura di fusione della sostanza,la natura del recipiente,la forma del recipiente,lo spazio vuoto tra nucleo ed elettroni
Individuare la base più debole in soluzione acquosa.,"-
ClO4","-
HCO3",HCOO-,ClO-,"2-
SO3"
Quale caratteristica ha una reazione che procede spontaneamente dai reagenti ai prodotti?,La variazione dell’energia libera di Gibbs associata con tale reazione è minore di zero,Il valore assoluto della energia libera di Gibbs è molto elevato,Ha energia libera di Gibbs nulla,Ha energia libera di Gibbs maggiore di zero,I reagenti sono in numero superiore ai prodotti
"0,25 l di una soluzione acquosa di acido bromidrico (HBr) 0,01 M viene titolata mediante 0,5 l di una soluzione acquosa di idrossido di litio (LiOH). Qual è la concentrazione molare della soluzione di LiOH?","0,005 mol/l","0,0025 mol/l","0,001 mol/l","0,0005 mol/l","0,0001 mol/l"
Quando un idrocarburo presenta attività ottica sicuramente è possibile affermare che:,l’idrocarburo è chirale,non è incolore,la carica complessiva non è neutra,è un composto ionico,ci sono doppi legami nel composto
La diminuzione della temperatura di congelamento di una soluzione è una:,proprietà colligativa,caratteristica di reattività,costante delle soluzioni,proprietà dipendente dalla natura delle unità elementari particelle di soluto,proprietà esclusiva delle sostanze ioniche.
Quale caratteristica hanno in comune fosforo e arsenico?,Appartengono allo stesso gruppo della tavola periodica,Appartengono allo stesso periodo della tavola periodica,Sono entrambi metalloidi,Sono entrambi metalli,Sono entrambi non metalli
"Nella struttura delle proteine gli amminoacidi sono legati tra loro con il legame peptidico, che tipo di legame è?",Covalente,Ionico,A idrogeno,Interazione di Van del Waals,Di coordinazione
"Un sistema è inizialmente costituito da una soluzione al 7,5% m/m di MgCl2 e una una soluzione al 9,5% m/m di MgCl2 separate da una membrana semipermeabile. Quale delle seguenti affermazioni è corretta?","Il flusso d’acqua si sposta dalla soluzione al 7,5% verso la soluzione al 9,5%","La soluzione al 7,5% è ipertonica rispetto all’altra soluzione","La soluzione al 7,5% di MgCl2 e la una soluzione al 9,5% di MgCl2 sono isotoniche","Il flusso di ioni Mg2+ avviene dalla soluzione al 7,5% verso la soluzione al 9,5%","Il flusso di ioni Cl- avviene dalla soluzione al 9,5% verso la soluzione al 7,5%"
Quale delle seguenti specie chimiche è un agente elettrofilo?,"+
NO2",Cl-,OH-,H2O,NH3
Indicare la formula generale degli alchini.,CnH2n-2,CnH2n,CnH2n+2,CnHn,CnHn-2
Qual è l'unità di misura comunemente utilizzata per quantificare l'affinità elettronica di un elemento?,kJ/mol,N/mol,N/m,J/g,N/kg
Quale grandezza viene misurata nella tecnica analitica della polarografia?,corrente in funzione del potenziale dell’elettrodo di lavoro,resistenza in funzione della corrente iniziale,conducibilità in funzione della polarità dell’elettrodo,Ampére in funzione della corrente positiva,Ampére in funzione della corrente negativa
"Qual è il nome corretto del composto:
CH2Br-CHCl-CH=CH-CH3?",5 - bromo - 4 - cloro - 2 - pentene,1 - bromo - 2 - cloro - 4 - pentene,4 - bromo - 3 - cloro - 2 - pentene,"5,5 - bromo, cloro - 2 - pentene",5 - bromo - 3 - cloro - 2 - pentene
Quale delle seguenti caratteristiche distingue l’anione fluoruro dall'atomo di fluoro?,Ha acquistato un elettrone,Ha perso un elettrone,Ha perso due elettroni,Ha acquistato due elettroni,Ha un numero di neutroni maggiore
"Nella tavola periodica, carbonio e silicio:",appartengono allo stesso gruppo,hanno una forte tendenza a ridursi,appartengono allo stesso periodo,non possono formare orbitali ibridi sp3,hanno una bassa tendenza a combinarsi per formare composti
Il carbonio-14 è un isotopo radioattivo del carbonio. Qual è il suo numero di atomico (Z)?,6,8,12,14,4
A quale classe di composti organici appartiene la seguente sostanza: CH3- CONH-CH3?,Ammidi secondarie,Anidridi primarie,Ammine primarie,Ammine secondarie,Ammine terziarie
Si mescolano volumi uguali di soluzioni acquose equimolari di acido perclorico e idrossido di bario. La soluzione che risulta è:,"basica, a causa dell’eccesso di ioni OH-",acida,neutra,"acida, a causa dell’eccesso di ioni OH-","acida, a causa dell’eccesso di ioni H+"
